Unnamed: 0,DOI,Author,Title,Year,Journal,source,PubMedID,Group,Title_lower,Journal_lower,Count,Label_ID,Label,Malik_Label_Validation,Jodi_Label_Validation,Remark,Retraction_Phrase,Inference Possibility,Inference Number,Retraction_Flag,Retraction_Flag_Pos
348,10.1016/j.matpr.2021.09.312,"[{'given': 'Mustafa', 'family': 'Taha Hussein Al-Musawi', 'sequence': 'first', 'affiliation': []}, {'given': 'Aeizaal Azman A.', 'family': 'Wahab', 'sequence': 'additional', 'affiliation': []}, {'given': 'Mustafa S.', 'family': 'Aljuamily', 'sequence': 'additional', 'affiliation': []}]",RETRACTED: Analysis of switching-element requirements in three-stage elastic optical switching fabrics,2022,Materials Today: Proceedings,Crossref,,likely_retracted,retracted: analysis of switching-element requirements in three-stage elastic optical switching fabrics,materials today: proceedings,3,RP186,both_rp_rn,,,,retracted:,RP186-N,0,retracted:,begin
349,10.1016/j.matpr.2023.03.338,"[{'given': 'Nageswara', 'family': 'Rao Lakkimsetty', 'sequence': 'first', 'affiliation': []}, {'given': 'S.', 'family': 'Karunya', 'sequence': 'additional', 'affiliation': []}, {'given': 'G.', 'family': 'Kavitha', 'sequence': 'additional', 'affiliation': []}, {'given': 'Noura', 'family': 'Ali Moosa Al Balushi', 'sequence': 'additional', 'affiliation': []}, {'given': 'Shabib', 'family': 'Sulaiman Ali Al Rashdi', 'sequence': 'additional', 'affiliation': []}, {'given': 'Feroz', 'family': 'Shaik', 'sequence': 'additional', 'affiliation': []}]",RETRACTED: Application of waste tire derived activated carbon for the removal of heavy metals in wastewater using Response surface methodology,2023,Materials Today: Proceedings,Crossref,,likely_retracted,retracted: application of waste tire derived activated carbon for the removal of heavy metals in wastewater using response surface methodology,materials today: proceedings,3,RP186,retraction notice(rn),,,,retracted:,RP186-N,0,retracted:,begin
58,10.1016/j.promfg.2015.09.061,"[{'given': 'Dazhong', 'family': 'Wu', 'sequence': 'first', 'affiliation': []}, {'given': 'Janis', 'family': 'Terpenny', 'sequence': 'additional', 'affiliation': []}, {'given': 'Wolfgang', 'family': 'Gentzsch', 'sequence': 'additional', 'affiliation': []}]","RETRACTED: Cloud-Based Design, Engineering Analysis, and Manufacturing: A Cost-Benefit Analysis",2015,Procedia Manufacturing,Crossref,,likely_retracted,"retracted: cloud-based design, engineering analysis, and manufacturing: a cost-benefit analysis",procedia manufacturing,3,RP230,both_rp_rn,,,,retracted:,RP230-Y,1,retracted:,begin
59,10.1016/j.promfg.2015.07.212,"[{'given': 'Shigeru', 'family': 'Ikemoto', 'sequence': 'first', 'affiliation': []}, {'given': 'Mengyuan', 'family': 'Liao', 'sequence': 'additional', 'affiliation': []}, {'given': 'Yuka', 'family': 'Takai', 'sequence': 'additional', 'affiliation': []}, {'given': 'Akihiko', 'family': 'Goto', 'sequence': 'additional', 'affiliation': []}, {'given': 'Hiroyuki', 'family': 'Nishimoto', 'sequence': 'additional', 'affiliation': []}, {'given': 'Hiroyuki', 'family': 'Hamada', 'sequence': 'additional', 'affiliation': []}]",RETRACTED: Impact of Operator Experience on Spray Gun Handling for Automobile Repair,2015,Procedia Manufacturing,Crossref,,likely_retracted,retracted: impact of operator experience on spray gun handling for automobile repair,procedia manufacturing,3,RP230,both_rp_rn,both_rp_rn,,,retracted:,RP230-Y,1,retracted:,begin
264,10.1016/j.polymer.2020.122486,"[{'given': 'Tingting', 'family': 'Cai', 'sequence': 'first', 'affiliation': []}, {'given': 'Ting', 'family': 'Bi', 'sequence': 'additional', 'affiliation': []}, {'given': 'Yun', 'family': 'Yang', 'sequence': 'additional', 'affiliation': []}, {'given': 'Ernest', 'family': 'Bi', 'sequence': 'additional', 'affiliation': []}, {'given': 'Shuping', 'family': 'Xue', 'sequence': 'additional', 'affiliation': []}]",RETRACTED: Preparation of high-performance polymer piezoelectric thin film by electric field induction technology,2020,Polymer,Crossref,,likely_retracted,retracted: preparation of high-performance polymer piezoelectric thin film by electric field induction technology,polymer,2,RP224,retracted paper(rp),,,,retracted:,RP224-Y,1,retracted:,begin
265,10.1016/j.polymer.2020.122472,"[{'given': 'Xiangzhe', 'family': 'Liu', 'sequence': 'first', 'affiliation': []}, {'given': 'Kui', 'family': 'Wang', 'sequence': 'additional', 'affiliation': []}]",RETRACTED: Interfacial microstructure and properties between epoxy resin and novel organic hybrid graphene oxide modification ultra high molecular weight polyethylene fiber,2020,Polymer,Crossref,,likely_retracted,retracted: interfacial microstructure and properties between epoxy resin and novel organic hybrid graphene oxide modification ultra high molecular weight polyethylene fiber,polymer,2,RP224,retracted paper(rp),,,,retracted:,RP224-Y,1,retracted:,begin
272,10.1016/j.diabres.2019.107921,"[{'given': 'S.F. Al', 'family': 'Qifari', 'sequence': 'first', 'affiliation': []}]",RETRACTED: Glycemic control outcomes of adults using the MiniMed‚Ñ¢ 670G hybrid closed-loop (HCL) system: A single-center study,2019,Diabetes Research and Clinical Practice,Crossref,,likely_retracted,retracted: glycemic control outcomes of adults using the minimed‚Ñ¢ 670g hybrid closed-loop (hcl) system: a single-center study,diabetes research and clinical practice,2,RP67,retracted paper(rp),,,,retracted:,RP67-Y,1,retracted:,begin
273,10.1016/j.diabres.2018.01.011,"[{'given': 'Di', 'family': 'Zhu', 'sequence': 'first', 'affiliation': []}, {'given': 'Xiaotian', 'family': 'Zhang', 'sequence': 'additional', 'affiliation': []}, {'given': 'Da', 'family': 'Zhang', 'sequence': 'additional', 'affiliation': []}, {'given': 'Teng', 'family': 'Li', 'sequence': 'additional', 'affiliation': []}, {'given': 'Caizhe', 'family': 'Yang', 'sequence': 'additional', 'affiliation': []}]",RETRACTED: Extranodal natural killer/T-cell lymphoma masquerading a diabetic foot ulcer,2018,Diabetes Research and Clinical Practice,Crossref,,likely_retracted,retracted: extranodal natural killer/t-cell lymphoma masquerading a diabetic foot ulcer,diabetes research and clinical practice,2,RP67,retracted paper(rp),,,,retracted:,RP67-Y,1,retracted:,begin
300,10.1016/j.proeng.2016.02.011,"[{'given': 'Le', 'family': 'Minh Ngo', 'sequence': 'first', 'affiliation': []}]",RETRACTED: Design Transformation for the Sustainability of High-Rise Residential Buildings,2016,Procedia Engineering,Crossref,,likely_retracted,retracted: design transformation for the sustainability of high-rise residential buildings,procedia engineering,2,RP229,both_rp_rn,,,,retracted:,RP229-Y,1,retracted:,begin
301,10.1016/j.proeng.2017.07.123,"[{'given': 'Ying-Chieh', 'family': 'Lee', 'sequence': 'first', 'affiliation': []}, {'given': 'Chia-Ying', 'family': 'Ko', 'sequence': 'additional', 'affiliation': []}, {'given': 'Yu-Tzu', 'family': 'Lin', 'sequence': 'additional', 'affiliation': []}, {'given': 'Chi-Yun', 'family': 'Wang', 'sequence': 'additional', 'affiliation': []}, {'given': 'Chun-Wei', 'family': 'Huang', 'sequence': 'additional', 'affiliation': []}, {'given': 'Karen C.', 'family': 'Seto', 'sequence': 'additional', 'affiliation': []}]",RETRACTED: A Conceptual Framework of the Human Dimensions of Urban Emission in East Asia cities,2017,Procedia Engineering,Crossref,,likely_retracted,retracted: a conceptual framework of the human dimensions of urban emission in east asia cities,procedia engineering,2,RP229,both_rp_rn,,,,retracted:,RP229-Y,1,retracted:,begin
4,10.1016/j.commatsci.2011.01.014,"[{'given': 'Ali', 'family': 'Nazari', 'sequence': 'first', 'affiliation': []}, {'given': 'Jamshid Aghazadeh', 'family': 'Mohandesi', 'sequence': 'additional', 'affiliation': []}, {'given': 'Saeed', 'family': 'Tavareh', 'sequence': 'additional', 'affiliation': []}]",RETRACTED: Microhardness profile prediction of a graded steel by strain gradient plasticity theory,2011,Computational Materials Science,Crossref,,likely_retracted,retracted: microhardness profile prediction of a graded steel by strain gradient plasticity theory,computational materials science,2,RP58,retracted paper(rp),retracted paper(rp),,,retracted:,RP58-Y,1,retracted:,begin
5,10.1016/j.commatsci.2011.06.039,"[{'given': 'Ali', 'family': 'Nazari', 'sequence': 'first', 'affiliation': []}]",RETRACTED: Application of strain gradient plasticity theory to model Charpy impact energy of functionally graded steels,2011,Computational Materials Science,Crossref,,likely_retracted,retracted: application of strain gradient plasticity theory to model charpy impact energy of functionally graded steels,computational materials science,2,RP58,retracted paper(rp),,,,retracted:,RP58-Y,1,retracted:,begin
12,10.1002/cpe.5562,,Retracted: Evaluation of the predictive performance of the principal component two‚Äêparameter estimator,2019,Concurrency and Computation: Practice and Experience,Crossref,,likely_retracted,retracted: evaluation of the predictive performance of the principal component two‚Äêparameter estimator,concurrency and computation: practice and experience,5,RP59,retraction notice(rn),,,,retracted:,RP59-Y,1,retracted:,begin
13,10.1002/cpe.6314,"[{'given': 'Wang', 'family': 'Zhongsheng', 'sequence': 'first', 'affiliation': []}, {'given': 'Wang', 'family': 'Jianguo', 'sequence': 'additional', 'affiliation': []}, {'given': 'Yang', 'family': 'Sen', 'sequence': 'additional', 'affiliation': []}, {'given': 'Gao', 'family': 'Jiaqiong', 'sequence': 'additional', 'affiliation': []}]",Retracted: Traffic identification and traffic analysis based on support vector machine,2021,Concurrency and Computation: Practice and Experience,Crossref,,likely_retracted,retracted: traffic identification and traffic analysis based on support vector machine,concurrency and computation: practice and experience,5,RP59,retraction notice(rn),,,,retracted:,RP59-Y,1,retracted:,begin
20,10.1007/s13204-021-02015-y,"[{'given': 'Srikanth', 'family': 'Divvala', 'sequence': 'first', 'affiliation': []}, {'given': 'M. Swaroopa', 'family': 'Rani', 'sequence': 'additional', 'affiliation': []}]",RETRACTED ARTICLE: Strength properties and durability studies on modified geopolymer concrete composites incorporating GGBS and metakaolin,2021,Applied Nanoscience,Crossref,,likely_retracted,retracted article: strength properties and durability studies on modified geopolymer concrete composites incorporating ggbs and metakaolin,applied nanoscience,51,RP11,both_rp_rn,both_rp_rn,,,retracted article,RP11-Y,1,retracted article:,begin
21,10.1007/s13204-021-02094-x,"[{'given': 'Ye', 'family': 'Xuan', 'sequence': 'first', 'affiliation': []}, {'given': 'Yunzhi', 'family': 'Hu', 'sequence': 'additional', 'affiliation': []}, {'given': 'Haifeng', 'family': 'Wang', 'sequence': 'additional', 'affiliation': []}]",RETRACTED ARTICLE: Social and economic analysis on the price spillover effect of agricultural products from the perspective of financialization: evidence from China‚Äôs oil and oilseeds industrial chain,2022,Applied Nanoscience,Crossref,,likely_retracted,retracted article: social and economic analysis on the price spillover effect of agricultural products from the perspective of financialization: evidence from china‚Äôs oil and oilseeds industrial chain,applied nanoscience,51,RP11,both_rp_rn,,,,retracted article,RP11-Y,1,retracted article:,begin
34,10.1007/s12667-022-00506-7,"[{'given': 'M. Vijay', 'family': 'Karthik', 'sequence': 'first', 'affiliation': []}, {'given': 'Priyanka', 'family': 'Chaudhary', 'sequence': 'additional', 'affiliation': []}]",RETRACTED ARTICLE: A novel integration of ANFIS-CRPSO based high power quality improvement in AC microgrids,2022,Energy Systems,Crossref,,likely_retracted,retracted article: a novel integration of anfis-crpso based high power quality improvement in ac microgrids,energy systems,7,RP76,both_rp_rn,,,,retracted article,RP76-Y,1,retracted article:,begin
35,10.1007/s12667-020-00414-8,"[{'given': 'Fanqiang', 'family': 'Meng', 'sequence': 'first', 'affiliation': []}, {'given': 'Bin', 'family': 'Xu', 'sequence': 'additional', 'affiliation': []}, {'given': 'Tongwei', 'family': 'Zhang', 'sequence': 'additional', 'affiliation': []}, {'given': 'BalaAnand', 'family': 'Muthu', 'sequence': 'additional', 'affiliation': []}, {'given': 'C. B.', 'family': 'Sivaparthipan', 'sequence': 'additional', 'affiliation': []}]",RETRACTED ARTICLE: Application of AI in image recognition technology for power line inspection,2021,Energy Systems,Crossref,,likely_retracted,retracted article: application of ai in image recognition technology for power line inspection,energy systems,7,RP76,both_rp_rn,,,,retracted article,RP76-Y,1,retracted article:,begin
38,10.1080/23311932.2017.1333269,,RETRACTED ARTICLE: Some quality attributes of heat-moisture treated water yam (<i>Dioscorea alata</i>) starch,2017,Cogent Food &amp; Agriculture,Crossref,,likely_retracted,retracted article: some quality attributes of heat-moisture treated water yam (<i>dioscorea alata</i>) starch,cogent food &amp; agriculture,2,RP54,retraction notice(rn),,,,retracted article,RP54-Y,1,retracted article:,begin
42,10.1007/978-3-642-36569-0_231,"[{'given': 'Paul', 'family': 'McCrory', 'sequence': 'first', 'affiliation': []}]",RETRACTED CHAPTER: Head Injuries in Sports,2015,Sports Injuries,Crossref,,likely_retracted,retracted chapter: head injuries in sports,sports injuries,2,RP247,retraction notice(rn),,,,retracted,RP247-Y,1,retracted chapter:,begin
43,10.1007/978-3-642-36801-1_231-1,"[{'given': 'Paul', 'family': 'McCrory', 'sequence': 'first', 'affiliation': []}]",RETRACTED CHAPTER: Head Injuries in Sports,2023,Sports Injuries,Crossref,,likely_retracted,retracted chapter: head injuries in sports,sports injuries,2,RP247,retraction notice(rn),,,,retracted,RP247-Y,1,retracted chapter:,begin
44,10.1007/s11225-022-10015-4,"[{'ORCID': 'http://orcid.org/0000-0002-6611-2377', 'authenticated-orcid': False, 'given': 'Janusz', 'family': 'Czelakowski', 'sequence': 'first', 'affiliation': []}]",RETRACTED ARTICLE: There are Infinitely Many Mersenne Prime Numbers. Applications of Rasiowa‚ÄìSikorski Lemma in Arithmetic (II),2022,Studia Logica,Crossref,,likely_retracted,retracted article: there are infinitely many mersenne prime numbers. applications of rasiowa‚Äìsikorski lemma in arithmetic (ii),studia logica,2,RP249,both_rp_rn,,,,retracted article,RP249-Y,1,retracted article:,begin
45,10.1007/s11225-022-10017-2,"[{'ORCID': 'http://orcid.org/0000-0002-6611-2377', 'authenticated-orcid': False, 'given': 'Janusz', 'family': 'Czelakowski', 'sequence': 'first', 'affiliation': []}]",RETRACTED ARTICLE: The Twin Primes Conjecture is True in the Standard Model of Peano Arithmetic: Applications of Rasiowa‚ÄìSikorski Lemma in Arithmetic (I),2022,Studia Logica,Crossref,,likely_retracted,retracted article: the twin primes conjecture is true in the standard model of peano arithmetic: applications of rasiowa‚Äìsikorski lemma in arithmetic (i),studia logica,2,RP249,both_rp_rn,,,,retracted article,RP249-Y,1,retracted article:,begin
48,10.1016/j.canlet.2013.02.028,"[{'given': 'Bhumika', 'family': 'Thati', 'sequence': 'first', 'affiliation': []}, {'given': 'Andy', 'family': 'Noble', 'sequence': 'additional', 'affiliation': []}, {'given': 'Bernadette S.', 'family': 'Creaven', 'sequence': 'additional', 'affiliation': []}, {'given': 'Maureen', 'family': 'Walsh', 'sequence': 'additional', 'affiliation': []}, {'given': 'Malachy', 'family': 'McCann', 'sequence': 'additional', 'affiliation': []}, {'given': 'Kevin', 'family': 'Kavanagh', 'sequence': 'additional', 'affiliation': []}, {'given': 'Michael', 'family': 'Devereux', 'sequence': 'additional', 'affiliation': []}, {'given': 'Denise A.', 'family': 'Egan', 'sequence': 'additional', 'affiliation': []}]",RETRACTED: A study of the role of apoptotic cell death and cell cycle events mediating the mechanism of action of 6-hydroxycoumarin-3-carboxylatosilver in human malignant hepatic cells,2013,Cancer Letters,Crossref,,likely_retracted,retracted: a study of the role of apoptotic cell death and cell cycle events mediating the mechanism of action of 6-hydroxycoumarin-3-carboxylatosilver in human malignant hepatic cells,cancer letters,6,RP37,retraction notice(rn),,,,retracted:,RP37-Y,1,retracted:,begin
49,10.1016/j.canlet.2013.02.022,"[{'given': 'N.', 'family': 'Takai', 'sequence': 'first', 'affiliation': []}, {'given': 'T.', 'family': 'Miyazaki', 'sequence': 'additional', 'affiliation': []}, {'given': 'M.', 'family': 'Nishida', 'sequence': 'additional', 'affiliation': []}, {'given': 'K.', 'family': 'Nasu', 'sequence': 'additional', 'affiliation': []}, {'given': 'I.', 'family': 'Miyakawa', 'sequence': 'additional', 'affiliation': []}]",RETRACTED: Ca2+/calmodulin-dependent protein kinase IV expression in epithelial ovarian cancer,2013,Cancer Letters,Crossref,,likely_retracted,retracted: ca2+/calmodulin-dependent protein kinase iv expression in epithelial ovarian cancer,cancer letters,6,RP37,retraction notice(rn),,,,retracted:,RP37-Y,1,retracted:,begin
56,10.1016/j.conbuildmat.2021.122681,"[{'given': 'Abdulaziz', 'family': 'Alaskar', 'sequence': 'first', 'affiliation': []}, {'given': 'Hisham', 'family': 'Alabduljabbar', 'sequence': 'additional', 'affiliation': []}, {'given': 'Abdeliazim', 'family': 'Mustafa Mohamed', 'sequence': 'additional', 'affiliation': []}, {'given': 'Fahed', 'family': 'Alrshoudi', 'sequence': 'additional', 'affiliation': []}, {'given': 'Rayed', 'family': 'Alyousef', 'sequence': 'additional', 'affiliation': []}]",RETRACTED: Abrasion and skid resistance of concrete containing waste polypropylene fibers and palm oil fuel ash as pavement material,2021,Construction and Building Materials,Crossref,,likely_retracted,retracted: abrasion and skid resistance of concrete containing waste polypropylene fibers and palm oil fuel ash as pavement material,construction and building materials,3,RP60,retracted paper(rp),retracted paper(rp),,,retracted:,RP60-Y,1,retracted:,begin
57,10.1016/j.conbuildmat.2018.01.093,"[{'given': 'Behrokh', 'family': 'Bazmara', 'sequence': 'first', 'affiliation': []}, {'given': 'Mohammad', 'family': 'Tahersima', 'sequence': 'additional', 'affiliation': []}, {'given': 'Amir', 'family': 'Behravan', 'sequence': 'additional', 'affiliation': []}]",RETRACTED: Influence of thermoplastic polyurethane and synthesized polyurethane additive in performance of asphalt pavements,2018,Construction and Building Materials,Crossref,,likely_retracted,retracted: influence of thermoplastic polyurethane and synthesized polyurethane additive in performance of asphalt pavements,construction and building materials,3,RP60,retracted paper(rp),,,,retracted:,RP60-Y,1,retracted:,begin
60,10.1007/s11042-019-7294-0,"[{'given': 'Chen', 'family': 'Xi', 'sequence': 'first', 'affiliation': []}, {'given': 'Dongbo', 'family': 'Shi', 'sequence': 'additional', 'affiliation': []}]",RETRACTED ARTICLE: Analysis of moving human body detection and recovery aided training in the background of multimedia technology,2019,Multimedia Tools and Applications,Crossref,,likely_retracted,retracted article: analysis of moving human body detection and recovery aided training in the background of multimedia technology,multimedia tools and applications,21,RP199,both_rp_rn,,,,retracted article,RP199-Y,1,retracted article:,begin
61,10.1007/s11042-019-7437-3,"[{'given': 'Yanji', 'family': 'Jiang', 'sequence': 'first', 'affiliation': []}, {'given': 'Shaocheng', 'family': 'Ge', 'sequence': 'additional', 'affiliation': []}, {'given': 'Gongye', 'family': 'Liu', 'sequence': 'additional', 'affiliation': []}, {'given': 'Xiaoliang', 'family': 'Tang', 'sequence': 'additional', 'affiliation': []}]",RETRACTED ARTICLE: Research on implementation of adaptive noise cancellation system based on neural network,2019,Multimedia Tools and Applications,Crossref,,likely_retracted,retracted article: research on implementation of adaptive noise cancellation system based on neural network,multimedia tools and applications,21,RP199,both_rp_rn,,,,retracted article,RP199-Y,1,retracted article:,begin
